PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014/2/1,55,44,33,30,12,2,65,32,11,30.1,30.05,29.97,10,10,10,20,8,26,0,1,,314
2014/2/2,54,40,25,27,19,13,69,46,21,30.1,30,29.9,10,10,10,21,5,25,0,2,,203
2014/2/3,55,40,26,26,24,20,81,55,29,29.96,29.91,29.84,10,10,10,10,5,,0,0,,204
2014/2/4,54,39,24,27,22,18,78,52,31,30.08,30.02,29.94,10,10,10,9,4,,0,3,,149
2014/2/5,55,41,27,28,23,15,66,48,29,30.13,30.04,29.99,10,10,10,10,3,,0,1,,185
2014/2/6,55,45,35,40,31,23,83,59,37,29.98,29.9,29.83,10,10,10,20,7,26,0,5,,238
2014/2/7,64,50,35,35,32,27,89,53,25,30.01,29.96,29.92,10,10,10,30,11,43,0,3,,220
2014/2/8,70,56,43,42,37,31,71,48,26,30.14,30.04,29.97,10,10,10,32,12,41,0,0,,214
2014/2/9,75,57,39,41,36,33,82,45,22,30.04,29.97,29.87,10,10,10,30,7,39,0,0,,229
2014/2/10,73,62,46,40,33,27,61,35,18,30.1,30,29.9,10,10,10,25,13,34,0,0,,183
2014/2/11,71,54,37,34,30,23,71,45,17,30.17,30.12,30.06,10,10,10,8,4,,0,3,,193
2014/2/12,70,54,37,29,26,22,57,37,21,30.23,30.14,30.08,10,10,10,8,5,,0,4,,183
2014/2/13,77,56,34,27,23,19,54,32,15,30.15,30.05,29.95,10,10,10,8,4,,0,2,,278
2014/2/14,78,58,37,23,20,17,48,25,13,30.12,30.03,29.97,10,10,10,24,4,,0,0,,263
2014/2/15,82,60,37,20,17,14,39,21,9,30.05,29.97,29.91,10,10,10,23,7,28,0,0,,247
2014/2/16,,,,,,,,,,,,,,,,,,,0,,,-1
2014/2/18,75,56,37,25,21,16,51,25,13,30.08,30.01,29.93,10,10,10,9,3,,0,6,,157
2014/2/19,80,61,42,27,21,12,38,25,8,29.98,29.85,29.77,10,10,10,24,7,33,0,1,,157
2014/2/20,68,52,37,26,18,12,49,27,13,30.19,30.1,30,10,10,10,12,5,,0,4,,148
2014/2/21,71,53,35,23,16,14,42,25,12,30.1,30,29.91,10,10,10,8,5,,0,0,,183
2014/2/22,72,54,35,22,18,15,47,27,13,29.99,29.92,29.87,10,10,10,7,4,,0,0,,179
2014/2/23,73,55,37,25,23,20,53,31,15,30.02,29.96,29.91,10,10,10,9,4,,0,0,,191
2014/2/24,75,56,37,24,21,15,51,28,12,30.04,29.97,29.91,10,10,10,10,2,,0,0,,218
2014/2/25,75,56,37,37,23,14,42,28,14,30.01,29.94,29.88,10,10,10,16,6,,0,1,,188
2014/2/26,68,55,42,46,37,27,75,50,36,29.98,29.92,29.88,10,10,10,21,8,29,0,4,,196
2014/2/27,70,62,53,47,32,13,75,41,16,29.91,29.81,29.72,10,10,10,28,18,39,0.01,4,Rain,209
2014/2/28,59,52,45,51,46,39,100,91,55,29.79,29.67,29.52,10,7,2,29,7,36,0.77,7,Rain,221
