AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014/2/1,39,34,28,31,28,25,96,85,70,30.29,30.22,30.16,10,10,10,6,2,,0,1,,85
2014/2/2,42,35,28,25,20,15,85,61,34,30.39,30.33,30.28,10,10,10,8,4,,0,0,,90
2014/2/3,37,34,30,16,12,6,54,42,32,30.54,30.48,30.4,10,10,10,13,6,21,0,1,,91
2014/2/4,34,30,25,11,6,1,53,37,26,30.62,30.59,30.56,10,10,10,10,7,,0,0,,92
2014/2/5,35,29,23,11,6,1,58,39,27,30.6,30.56,30.47,10,10,10,10,5,,0,0,,83
2014/2/6,32,26,21,17,12,8,75,56,40,30.45,30.17,29.87,10,10,10,8,4,,0,0,,99
2014/2/7,36,30,23,25,20,16,85,70,59,30.07,29.95,29.85,10,10,10,7,4,,0,3,,108
2014/2/8,33,27,21,18,15,10,82,61,40,30.15,30.1,30.04,10,10,10,9,4,,0,2,,96
2014/2/9,28,26,25,16,8,4,66,46,38,30.03,29.96,29.87,10,10,10,22,11,30,0,4,,102
2014/2/10,32,28,21,8,2,-2,51,36,28,29.85,29.64,29.51,10,10,10,17,10,25,0,1,,81
2014/2/11,28,24,19,17,11,3,75,57,45,29.7,29.51,29.29,10,10,10,18,8,23,0,1,,63
2014/2/12,33,25,18,26,22,12,86,76,63,29.45,29.41,29.35,10,6,0,18,11,22,0,7,Snow,103
2014/2/13,36,33,30,32,28,14,100,84,44,29.32,29.26,29.09,10,5,0,23,14,31,0.21,6,Fog-Snow,111
2014/2/14,39,36,33,34,33,30,100,89,70,29.29,29.09,28.87,10,7,1,23,10,32,0.66,8,Rain-Snow,55
2014/2/15,44,36,28,34,32,25,100,82,63,29.2,28.95,28.81,10,6,0,30,19,51,0.51,8,Fog-Rain-Snow,120
2014/2/16,37,34,30,29,27,25,92,79,64,29.22,29.11,29.01,10,8,1,16,9,23,0.04,7,Snow,96
2014/2/17,37,34,32,34,31,26,96,83,62,29.31,29.22,29.01,10,8,2,24,10,31,0.02,8,Rain-Snow,103
2014/2/18,39,34,28,32,27,23,100,80,53,29.39,29.27,29.15,10,8,1,13,7,,0.09,6,Snow,92
2014/2/19,37,32,28,32,29,26,96,86,70,29.66,29.58,29.41,10,7,2,13,4,,0.02,7,Snow,102
2014/2/20,35,32,28,32,29,26,96,89,78,30.17,29.89,29.66,10,6,0,21,8,22,0.16,7,Snow,283
2014/2/21,37,32,28,28,27,24,96,85,64,30.27,30.22,30.18,10,8,1,9,6,,0.01,7,Snow,84
2014/2/22,33,30,28,25,13,4,88,50,33,30.32,30.3,30.27,10,10,10,14,7,21,0,0,,91
2014/2/23,37,32,27,19,7,0,59,35,24,30.31,30.17,30.06,10,10,10,10,7,23,0,0,,70
2014/2/24,39,31,23,21,14,6,69,50,27,30.14,30.12,30.08,10,10,10,14,5,,0,2,,73
2014/2/25,45,38,30,34,26,20,79,63,42,30.12,30.05,29.98,10,10,10,14,6,,0,3,,323
2014/2/26,46,40,35,40,36,33,96,85,68,29.96,29.82,29.73,10,10,10,6,2,,0,3,,80
2014/2/27,43,38,33,37,34,30,92,82,71,29.93,29.84,29.75,10,10,10,7,3,,0,5,,17
2014/2/28,46,40,33,35,29,22,92,68,42,29.94,29.93,29.91,10,10,10,8,3,,0,2,,350
